"record_num","id","latitude","longitude","label","updated_at","occupancy_status","direction_id","current_stop_sequence"
7598,"y1863",42.3481728,-71.08837711,"1863","2023-06-14T19:56:43-04:00","FEW_SEATS_AVAILABLE",0,13
7599,"y1817",42.36592484,-71.10435617,"1817","2023-06-14T19:56:41-04:00","MANY_SEATS_AVAILABLE",1,7
7600,"y1786",42.34074988,-71.08204284,"1786","2023-06-14T19:56:34-04:00","MANY_SEATS_AVAILABLE",1,16
7601,"y1783",42.36167551,-71.09724555,"1783","2023-06-14T19:56:41-04:00","",0,17
7602,"y1778",42.35098,-71.08957,"1778","2023-06-14T19:56:31-04:00","MANY_SEATS_AVAILABLE",1,11
7603,"y1877",42.33145622,-71.07766946,"1877","2023-06-14T19:56:50-04:00","MANY_SEATS_AVAILABLE",1,21
7604,"y1863",42.34845507,-71.08850102,"1863","2023-06-14T19:56:52-04:00","FEW_SEATS_AVAILABLE",0,13
7605,"y1817",42.36592484,-71.10435617,"1817","2023-06-14T19:56:41-04:00","MANY_SEATS_AVAILABLE",1,7
7606,"y1786",42.34076046,-71.08202955,"1786","2023-06-14T19:56:47-04:00","MANY_SEATS_AVAILABLE",1,16
7607,"y1783",42.36176012,-71.09744268,"1783","2023-06-14T19:56:52-04:00","",0,17
7608,"y1778",42.35092648,-71.08948323,"1778","2023-06-14T19:56:52-04:00","MANY_SEATS_AVAILABLE",1,11
7609,"y1877",42.33201051,-71.07907288,"1877","2023-06-14T19:57:05-04:00","MANY_SEATS_AVAILABLE",1,21
7610,"y1863",42.3486321,-71.08864087,"1863","2023-06-14T19:57:04-04:00","FEW_SEATS_AVAILABLE",0,14
7611,"y1817",42.3657269,-71.10402658,"1817","2023-06-14T19:57:06-04:00","MANY_SEATS_AVAILABLE",1,7
7612,"y1786",42.34076046,-71.08202955,"1786","2023-06-14T19:56:47-04:00","MANY_SEATS_AVAILABLE",1,16
7613,"y1783",42.36176012,-71.09744268,"1783","2023-06-14T19:56:52-04:00","",0,17
7614,"y1778",42.35026305,-71.08929367,"1778","2023-06-14T19:57:05-04:00","MANY_SEATS_AVAILABLE",1,11
7615,"y1877",42.33247133,-71.08016218,"1877","2023-06-14T19:57:13-04:00","MANY_SEATS_AVAILABLE",1,21
7616,"y1863",42.34906659,-71.08868129,"1863","2023-06-14T19:57:11-04:00","FEW_SEATS_AVAILABLE",0,14
7617,"y1817",42.36520563,-71.10353329,"1817","2023-06-14T19:57:14-04:00","MANY_SEATS_AVAILABLE",1,7
7618,"y1786",42.34076046,-71.08202955,"1786","2023-06-14T19:56:47-04:00","MANY_SEATS_AVAILABLE",1,16
7619,"y1783",42.36198101,-71.09784604,"1783","2023-06-14T19:57:13-04:00","",0,17
7620,"y1778",42.34967892,-71.08893129,"1778","2023-06-14T19:57:14-04:00","MANY_SEATS_AVAILABLE",1,11
7621,"y1877",42.33279818,-71.08069526,"1877","2023-06-14T19:57:22-04:00","MANY_SEATS_AVAILABLE",1,22
7622,"y1863",42.35005553,-71.08906825,"1863","2023-06-14T19:57:26-04:00","FEW_SEATS_AVAILABLE",0,14
7623,"y1817",42.3652386,-71.10333855,"1817","2023-06-14T19:57:26-04:00","MANY_SEATS_AVAILABLE",1,7
7624,"y1786",42.34075676,-71.0820073,"1786","2023-06-14T19:57:15-04:00","MANY_SEATS_AVAILABLE",1,16
7625,"y1783",42.36228017,-71.09849731,"1783","2023-06-14T19:57:23-04:00","",0,17
7626,"y1778",42.34888611,-71.0886426,"1778","2023-06-14T19:57:24-04:00","MANY_SEATS_AVAILABLE",1,12
7627,"y1877",42.33291503,-71.08110422,"1877","2023-06-14T19:57:35-04:00","MANY_SEATS_AVAILABLE",1,22
